year,country,alt,grid,laps,driver_nationality,constructor_nationality,number,q1_millsec,race_month,top_3
2009,Belgium,401.0,6,44,Finnish,Italian,4,105579.0,8,yes
2009,Belgium,401.0,1,44,Italian,Indian,21,105102.0,8,yes
2009,Belgium,401.0,8,44,German,Austrian,15,105372.0,8,yes
2009,Belgium,401.0,5,44,Polish,German,5,105655.0,8,no
2009,Belgium,401.0,3,44,German,German,6,105566.0,8,no
2009,Belgium,401.0,15,44,Finnish,British,2,105705.0,8,no
2009,Belgium,401.0,4,44,Brazilian,British,23,105237.0,8,no
2009,Belgium,401.0,10,44,German,British,16,105486.0,8,no
2009,Belgium,401.0,9,44,Australian,Austrian,14,105350.0,8,no
2009,Belgium,401.0,7,44,German,Japanese,10,105450.0,8,no
2009,Belgium,401.0,11,44,German,Indian,20,105239.0,8,no
2009,Belgium,401.0,16,44,Swiss,Italian,12,105951.0,8,no
2009,Belgium,401.0,18,44,Japanese,British,17,106307.0,8,no
2009,Belgium,401.0,20,44,Italian,Italian,3,106957.0,8,no
2009,Belgium,401.0,13,26,Spanish,French,7,105707.0,8,no
2009,Belgium,401.0,2,21,Italian,Japanese,9,105140.0,8,no
2009,Belgium,401.0,14,0,British,British,22,105761.0,8,no
2009,Belgium,401.0,19,0,French,French,8,106359.0,8,no
2009,Belgium,401.0,12,0,British,British,1,105767.0,8,no
2009,Belgium,401.0,17,0,Spanish,Italian,11,106302.0,8,no
2009,Italy,162.0,5,53,Brazilian,British,23,83483.0,9,yes
2009,Italy,162.0,6,53,British,British,22,83403.0,9,yes
2009,Italy,162.0,3,53,Finnish,Italian,4,83349.0,9,yes
2009,Italy,162.0,2,53,German,Indian,20,83576.0,9,no
2009,Italy,162.0,8,53,Spanish,French,7,83708.0,9,no
2009,Italy,162.0,4,53,Finnish,British,2,83515.0,9,no
2009,Italy,162.0,15,53,German,German,6,83584.0,9,no
2009,Italy,162.0,9,53,German,Austrian,15,83558.0,9,no
2009,Italy,162.0,14,53,Italian,Italian,3,83828.0,9,no
